"old_url","new_path","type"
"https://www.paulcee.co.uk/blog/?choose-the-right-search-coil","/blog/choose-the-right-search-coil/","post"
"https://www.paulcee.co.uk/blog/?metal-detector-large-case","/blog/metal-detector-large-case/","post"
"https://www.paulcee.co.uk/blog/?minelab-manticore-ground-balance","/blog/minelab-manticore-ground-balance/","post"
"https://www.paulcee.co.uk/blog/?diamond-tester-for-metal-detecting","/blog/diamond-tester-for-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?equinox-900-best-settings","/blog/equinox-900-best-settings/","post"
"https://www.paulcee.co.uk/blog/?equinox-vibrate-settings","/blog/equinox-vibrate-settings/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-900-and-700-reset","/blog/minelab-equinox-900-and-700-reset/","post"
"https://www.paulcee.co.uk/blog/?manticore-audio-themes","/blog/manticore-audio-themes/","post"
"https://www.paulcee.co.uk/blog/?minelab-manticore-recovery-speed","/blog/minelab-manticore-recovery-speed/","post"
"https://www.paulcee.co.uk/blog/?minelab-wm09-wireless-adapter","/blog/minelab-wm09-wireless-adapter/","post"
"https://www.paulcee.co.uk/blog/?why-detectors-miss-targets","/blog/why-detectors-miss-targets/","post"
"https://www.paulcee.co.uk/blog/?coiltek-nox-18-coil","/blog/coiltek-nox-18-coil/","post"
"https://www.paulcee.co.uk/blog/?pro-find-40-settings","/blog/pro-find-40-settings/","post"
"https://www.paulcee.co.uk/blog/?minelab-x-terra-voyager","/blog/minelab-x-terra-voyager/","post"
"https://www.paulcee.co.uk/blog/?manticore-dealing-with-emi","/blog/manticore-dealing-with-emi/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-pow-camp","/blog/metal-detecting-pow-camp/","post"
"https://www.paulcee.co.uk/blog/?cmd-gift-voucher","/blog/cmd-gift-voucher/","post"
"https://www.paulcee.co.uk/blog/?unveiling-the-power-of-the-minelab-manticore-m8-coil","/blog/unveiling-the-power-of-the-minelab-manticore-m8-coil/","post"
"https://www.paulcee.co.uk/blog/?minelab-manticore-ferrous-limits","/blog/minelab-manticore-ferrous-limits/","post"
"https://www.paulcee.co.uk/blog/?equinox-900-setting-up","/blog/equinox-900-setting-up/","post"
